item	frequency	suggested_level2	match_type	final_level2
샐러드	507	Not Defined	not_defined	
돈까스	249	Not Defined	not_defined	
치킨	207	Not Defined	not_defined	
과자	191	Not Defined	not_defined	
탕수육	190	돼지고기	guessed	
미역국	187	해조류	guessed	
샌드위치	163	Not Defined	not_defined	
회	159	Not Defined	not_defined	
김치찌개	142	잎 채소|고추|마늘|소금|기타 소스	guessed	
닭가슴살	139	Not Defined	not_defined	
볶음밥	133	Not Defined	not_defined	
물냉면	104	Not Defined	not_defined	
전	99	Not Defined	not_defined	
라면사리	89	밀	guessed	
김밥	84	Not Defined	not_defined	
피자	82	Not Defined	not_defined	
냉면	81	Not Defined	not_defined	
삶은 계란	79	계란	guessed	
순대국	72	가공육|전분	guessed	
컵라면	69	밀	guessed	
짜장면	68	Not Defined	not_defined	
등	68	Not Defined	not_defined	
짬뽕국물	64	Not Defined	not_defined	
씨리얼	63	Not Defined	not_defined	
돼지수육	59	돼지고기	guessed	
죽	59	Not Defined	not_defined	
튀김	58	Not Defined	not_defined	
제육볶음	57	Not Defined	not_defined	
보쌈	57	Not Defined	not_defined	
우동	53	Not Defined	not_defined	
갈비탕	52	소고기	guessed	
막국수	50	Not Defined	not_defined	
유린기	50	Not Defined	not_defined	
매운탕	49	Not Defined	not_defined	
비빔밥	47	Not Defined	not_defined	
부대찌개	47	Not Defined	not_defined	
햄버거	46	Not Defined	not_defined	
토스트	46	Not Defined	not_defined	
계란말이	45	계란	guessed	
스시	43	Not Defined	not_defined	
소세지	43	Not Defined	not_defined	
스테이크	42	Not Defined	not_defined	
닭갈비	41	소고기	guessed	
된장찌개	40	된장	guessed	
쌀국수	39	Not Defined	not_defined	
떡볶이	39	Not Defined	not_defined	
짜파게티	38	Not Defined	not_defined	
북어국	37	생선	guessed	
불고기	37	기타 육류	guessed	
추어탕	37	Not Defined	not_defined	
군만두	36	밀|돼지고기|잎 채소	guessed	
양장피	36	Not Defined	not_defined	
오뎅	33	Not Defined	not_defined	
팔보채	33	Not Defined	not_defined	
비빔냉면	33	Not Defined	not_defined	
계란찜	32	계란	guessed	
육개장	31	Not Defined	not_defined	
오믈렛	30	Not Defined	not_defined	
초밥	30	Not Defined	not_defined	
된장국	28	된장	guessed	
국수	28	Not Defined	not_defined	
메추리알	28	Not Defined	not_defined	
감자탕	27	뿌리 채소	guessed	
육회	26	Not Defined	not_defined	
생선구이	26	생선	guessed	
오뎅탕	25	Not Defined	not_defined	
냉모밀	24	Not Defined	not_defined	
감자칩	24	뿌리 채소	guessed	
국	24	Not Defined	not_defined	
함박스테이크	24	Not Defined	not_defined	
두부김치	24	잎 채소|고추|마늘|소금|기타 소스	guessed	
잡채	23	Not Defined	not_defined	
